,zip,num_restaurants,num_violations,num_Cviolations,avg_score
209,11421,78,1463,828,15.709812108559499
210,11422,41,811,427,15.874493927125506
211,11423,35,695,384,16.771428571428572
212,11426,32,638,357,15.509615384615385
213,11427,19,370,197,14.21951219512195
214,11428,36,897,500,18.003861003861005
215,11429,23,484,250,14.56875
216,11430,157,2077,1176,13.64472049689441
217,11432,187,3606,1998,16.154185022026432
218,11433,26,558,303,14.432291666666666
219,11434,91,1366,730,14.971428571428572
220,11435,107,2277,1215,15.898571428571428
221,11436,23,484,262,17.285714285714285
222,11451,1,34,20,20.625
223,11691,49,1177,653,18.15692307692308
224,11692,11,195,113,15.34375
225,11693,33,610,313,16.615384615384617
226,11694,39,846,481,15.992592592592592
227,11697,2,70,39,18.57894736842105
