,P1,P2,P3,P4,P5,P6,P7,P8,zip,Y,Predicts,Dev_SqDist
7,-1.84399095907,0.275136935083,-4.40098899251,1.00820521001,-0.149341553722,-1.69063197427,0.277856765374,-0.0536190527193,10009,15.1057692308,14.7786236947,0.107024201772
68,0.667416968161,0.0590845633389,0.728878600187,-1.31093899036,0.0614667844151,-2.25269217712,-0.286485110705,-0.353374255876,10460,12.8766756032,13.3580746256,0.231745018789
33,-3.15870992169,-1.94442518224,-0.0927358353829,-0.75813826511,0.120074797191,-0.328485814225,-1.23844441778,0.0737007068174,10036,15.1906873614,15.0452392233,0.0211551608666
34,0.439289931266,0.827642364945,-0.360472371063,1.12601708432,1.34329871673,-1.06097521623,-0.138953650183,-0.432108406351,10037,16.6,15.7422634749,0.735711946453
172,0.43137839076,-0.76275255903,0.681127825826,-1.82911195306,-2.12253584675,1.39907026385,-1.8682138388,0.0136550547215,11430,13.2254901961,13.4762867066,0.0628988896654
145,0.145866547582,1.37019266544,0.475266932591,0.796354703032,-1.33241338015,-0.355438874044,0.944474013101,0.764668825838,11370,14.2191011236,15.048767266,0.688345907774
38,-0.991630082055,0.886126648373,-0.231062942083,0.755426581567,-0.647054783529,-0.154691001413,-0.579562315759,0.16017687031,10065,15.2228116711,15.2205510449,5.11043069835e-06
29,0.363184497146,-0.258097086287,-1.19138029595,0.619148675056,-0.166005558142,1.30954228319,0.476918214929,0.336942970569,10032,16.3176144244,15.727899658,0.347763505724
78,0.875332497545,0.0263190990581,-0.128581878635,-0.085509192678,-1.73312450233,-0.212492331879,-0.522648701633,-1.178389458,10470,14.8156028369,14.592627804,0.0497178652895
43,-0.729824419607,0.731918348726,-0.479834788194,0.597822212742,0.205788640199,-0.25442448557,0.673730108608,0.949707436798,10128,15.5872033024,15.1773178871,0.168006053663
138,0.544991766219,0.9384385223,-0.678400353389,0.437857635113,0.203164783489,0.910832826448,-0.161196017159,-2.02888873336,11363,15.08,15.0597088753,0.000411729742427
30,0.231028129711,-0.0597031326466,-1.35934738458,0.528447484348,-0.0525885807502,-0.190647783863,-0.267822939183,-0.71754352137,10033,15.7666666667,15.278025405,0.238770282638
126,0.223803238244,-1.13086845088,0.243957598279,-0.572151576091,-1.33939546906,-0.00280387662745,1.65040284766,0.269386681131,11237,15.5904590459,14.779731276,0.657279516852
83,0.895326685906,-0.154340345954,0.53877126327,-1.32222287032,1.59330141035,1.09929552884,-1.56592687566,-0.32854064122,10475,14.4093959732,14.161502119,0.0614513629368
2,-4.84574406834,-0.411648138758,2.3190973373,-0.0975741616996,0.650420998302,-0.634644870561,-1.75105701342,0.324830575867,10003,15.4553171422,15.5229934598,0.00458008396565
17,-3.41785904085,6.43642880701,4.85171971437,-0.662652048512,-0.602570475677,0.301146006665,-0.331584025642,-0.0509565714546,10020,11.8875968992,12.1822197636,0.0868026322299
36,0.796379959475,0.278721167309,-1.14687284149,-0.257911242391,1.81971696387,0.605017785627,0.789588832078,1.46342921886,10039,15.2833333333,14.7100285246,0.328678403674
114,0.0803787341789,0.813656533182,1.43034486775,-1.01675501426,1.87648707964,-1.42302499883,-1.43244997455,-0.907616756667,11224,13.6598984772,13.8365726937,0.0312137787684
159,0.546204827633,0.546671721116,-1.0730094392,0.97047610285,0.0271230536463,0.317299002722,-1.51962359041,-2.49431088255,11415,15.7298387097,15.6123030223,0.0138146378193
16,-2.84436336625,-3.35657835472,-0.491269998996,-1.24270302617,0.350122666426,-0.110188292318,-1.04376462463,0.121509636501,10019,14.7229965157,15.1822163786,0.210882882472
115,0.313835036734,-0.13488549683,-0.287336074496,-0.751761525145,-0.505364558049,0.0889134770864,1.52867167223,0.510844285926,11225,14.7903225806,14.1459612516,0.415201522315
105,-0.748826432623,-1.86841574552,-0.143560993802,-0.344473420607,-0.626529254197,-0.136033100939,0.200157365323,0.0495852796176,11215,15.0841908326,15.3682163401,0.0806704889199
112,-0.803402477845,0.36380344937,0.748815263698,-0.2042287255,-0.226730046906,-0.583704632159,1.7713803404,0.319310039364,11222,15.1922739245,14.6259396748,0.320734482341
19,-2.73896135118,-0.547785429622,0.22293074925,-0.0557565758248,-0.0172823536588,0.322414510251,-0.811896326067,0.120580671355,10022,14.9139526911,15.2842492822,0.13711956538
162,0.391670431425,0.132433030938,-0.788527052195,0.212678573247,0.00630602158794,-0.0597252216613,0.208016944558,0.27425898296,11418,15.5756385069,14.9932610416,0.339163512082
168,0.81667164259,0.322311295575,0.299480627463,0.47305281724,-0.66939057929,0.232289817866,-0.00255408457505,0.501617147409,11426,14.0521327014,15.3487836174,1.68130359796
140,0.506626554989,0.577111882074,-0.395738105462,-0.150456068834,0.342605616632,-1.00101534501,-0.748265639343,-0.400983935005,11365,14.420233463,14.3690223218,0.00262258098474
