,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
10001,511,8186,4533,175,7,16,44,12,4,6,20,3,13.863146926015977
10002,473,9114,5174,124,96,13,32,12,12,13,23,6,16.02744119743407
10003,684,13481,7517,187,16,67,53,41,7,27,25,3,15.455317142183448
10004,137,2261,1263,42,2,3,15,6,2,4,6,0,14.02252816020025
10005,66,1254,715,27,1,3,8,4,0,0,3,0,15.389952153110048
10006,43,977,571,20,2,0,3,0,0,1,3,0,15.881410256410257
10007,133,2273,1260,47,1,6,13,5,0,4,6,1,14.683937823834198
10009,300,5962,3233,106,11,17,14,13,11,8,16,7,15.10576923076923
10010,261,4710,2689,87,10,6,27,20,2,8,9,0,15.205029013539653
10011,466,8741,4990,156,11,26,35,33,5,15,23,14,14.879916463626872
10012,394,7872,4351,127,4,23,31,41,6,14,15,4,15.124362495096117
10013,482,10509,6092,112,78,18,45,56,4,6,9,1,16.434280362160475
10014,447,8388,4725,138,7,16,35,43,5,11,17,8,15.17743132887899
10015,1,2,1,0,0,0,0,0,0,0,0,0,7.0
10016,450,9027,5238,127,17,31,28,21,2,12,18,1,15.753146853146854
10017,343,6738,3872,110,9,28,39,19,1,7,12,2,15.405515370705244
10018,336,6341,3650,127,11,10,26,12,3,4,13,1,15.720659553831231
10019,679,11892,6745,275,14,36,37,42,7,17,26,0,14.722996515679442
10020,47,623,339,27,0,2,2,0,0,1,0,0,11.887596899224807
10021,150,3249,1839,40,6,10,12,20,1,3,5,0,15.720837487537388
10022,467,8801,5012,175,13,30,30,33,1,7,12,2,14.913952691121015
10023,196,3286,1817,61,3,4,17,17,1,4,9,1,14.189794091316026
10024,194,3821,2223,47,7,11,18,20,4,4,8,0,15.489291598023064
10025,237,4992,2813,45,14,10,16,9,7,9,18,1,16.426470588235293
10026,75,1544,868,23,5,0,5,2,0,2,3,2,16.593952483801296
10027,171,2700,1507,50,11,5,13,5,4,1,7,2,15.453819840364881
10028,209,3887,2162,58,5,14,12,19,1,7,12,1,15.229268292682926
10029,210,3731,2163,29,26,3,7,4,12,22,20,5,15.864321608040202
10030,44,586,299,6,4,0,2,0,2,0,2,0,14.052380952380952
10031,103,1948,1089,19,11,1,5,6,6,8,7,7,15.538338658146964
10032,117,2274,1317,21,13,0,5,2,18,5,10,7,16.31761442441054
10033,116,2226,1235,9,11,1,2,1,18,5,14,15,15.766666666666667
10034,104,2007,1090,23,6,1,2,1,25,8,7,9,15.767710049423394
10035,81,1432,779,18,9,1,2,5,4,4,7,4,15.05446623093682
