,bar_rating,bar_rev_count,rest_rating,rest_rev_count,num_complaints,num_food_est,num_food_poi,num_smoking,num_restaurants,num_violations,num_Cviolations,num_amer,num_chi,num_jap,num_cafe,num_ita,num_latin,num_mex,num_pizza,num_span,avg_score
10075,4.0,214,4.38888888889,309,1.0,1.0,0.0,0.0,99,2044,1191,19,4,8,5,16,0,2,6,1,15.5742725881
10103,0.0,0,0.0,0,380.0,291.0,71.0,11.0,2,13,5,0,0,0,1,0,0,0,0,0,7.33333333333
10104,0.0,0,0.0,0,40.0,31.0,8.0,0.0,5,55,35,2,0,0,1,1,0,0,0,0,16.3333333333
10105,0.0,0,0.0,0,18.0,13.0,4.0,1.0,2,29,18,1,0,0,1,0,0,0,0,0,10.9285714286
10106,0.0,0,0.0,0,26.0,15.0,11.0,0.0,2,19,7,1,0,0,0,1,0,0,0,0,8.44444444444
10107,0.0,0,0.0,0,231.0,163.0,62.0,4.0,1,7,2,0,0,0,1,0,0,0,0,0,8.33333333333
10110,0.0,0,0.0,0,204.0,137.0,65.0,0.0,1,9,3,0,0,0,0,0,0,0,0,0,8.0
10111,0.0,0,0.0,0,110.0,72.0,34.0,3.0,5,87,50,3,0,0,0,0,0,0,0,0,17.9666666667
10112,4.0,140,4.0,232,149.0,94.0,49.0,5.0,18,183,95,7,0,0,1,1,0,0,0,0,9.98850574713
10118,0.0,0,4.5,46,236.0,174.0,55.0,7.0,7,63,32,1,0,0,1,0,0,1,0,0,11.4074074074
10119,4.0,176,4.0,176,252.0,176.0,68.0,5.0,21,251,130,5,0,1,3,2,0,0,2,0,13.6344086022
10121,4.0,22,0.0,0,88.0,74.0,13.0,1.0,24,134,75,10,0,0,0,0,0,0,1,0,8.78082191781
10122,0.0,0,0.0,0,97.0,72.0,23.0,2.0,1,22,14,1,0,0,0,0,0,0,0,0,15.5714285714
10123,0.0,0,0.0,0,121.0,85.0,30.0,3.0,2,27,11,0,0,0,0,0,0,0,0,0,16.4285714286
10128,4.0625,213,4.21428571429,349,161.0,125.0,35.0,1.0,162,3105,1728,38,11,7,9,15,0,5,13,1,15.5872033024
