,num_complaints,num_food_est,num_food_poi,num_smoking
11432,473,346.0,121.0,2.0
11433,93,68.0,23.0,1.0
11434,236,173.0,63.0,0.0
11435,255,169.0,78.0,6.0
11436,53,42.0,11.0,0.0
11559,3,2.0,1.0,0.0
11581,2,1.0,1.0,0.0
11691,162,130.0,31.0,1.0
11692,21,11.0,10.0,0.0
11693,65,47.0,13.0,4.0
11694,106,74.0,29.0,2.0
11697,5,2.0,2.0,0.0
